Event,Men,Women,Distance
50m freestyle,20.91,23.61,50
100m freestyle,46.8,51.71,100
200m freestyle,1:42.00,1:52.85,200
400m freestyle,3:40.07,3:55.38,400
800m freestyle,7:32.12,8:04.79,800
1500m freestyle,14:31.02,15:20.48,1500
50m backstroke,23.55,26.86,50
100m backstroke,51.6,57.33,100
200m backstroke,1:51.92,2:03.14,200
50m breaststroke,25.95,29.16,50
100m breaststroke,56.88,1:04.13,100
200m breaststroke,2:05.48,2:17.55,200
50m butterfly,22.27,24.43,50
100m butterfly,49.45,55.48,100
200m butterfly,1:50.34,2:01.81,200
200m individual medley,1:54.00,2:06.12,200
400m individual medley,4:02.50,4:25.87,400
4 × 100 m freestyle relay,3:08.24,3:27.96,400
4 × 200 m freestyle relay,6:58.55,7:37.50,800
4 × 100 m medley relay,3:26.78,3:50.40,400
