Event,Men,Women,Distance
50 Metres,5.56,5.96,50
60 Metres,6.34,6.92,60
100 Metres,9.58,10.49,100
200 Metres,19.19,21.34,200
200 Metres Short Track,19.92,21.87,200
400 Metres,43.03,47.6,400
400 Metres Short Track,44.57,49.26,400
800 Metres,1:40.91,1:53.28,800
800 Metres Short Track,1:42.67,1:55.82,800
1000 Metres,2:11.96,2:28.98,1000
1000 Metres Short Track,2:14.20,2:30.94,1000
1500 Metres,3:26.00,3:49.11,1500
1500 Metres Short Track,3:30.60,3:53.09,1500
Mile,3:43.13,4:07.64,1609
Mile Short Track,3:47.01,4:13.31,1609
2000 Metres,4:43.13,5:21.56,2000
3000 Metres,7:20.67,8:06.11,3000
3000 Metres Short Track,7:23.81,8:16.60,3000
5000 Metres,12:35.36,14:00.21,5000
5000 Metres Short Track,12:49.60,14:18.86,5000
"10,000 Metres",26:11.00,29:01.03,10000
3000 Metres Steeplechase,7:52.11,8:44.32,3000
High Jump,2.45,2.09,0
Pole Vault,6.23,5.06,0
Long Jump,8.95,7.52,0
Triple Jump,18.29,15.74,0
Mile Road,3:56.13,4:20.98,1609
5 Kilometres Road,12:49,14:19,5000
10 Kilometres Road,26:24.00,29:14.00,1000
Half Marathon,57:31.00,1:02:52,21197
Marathon,2:00:35,2:14:04, 42195
50 Kilometres Road,2:38:43,2:59:54,50000
100 Kilometres Road,6:05:35,6:33:11,100000
20 Kilometres Race Walk,1:16:36,1:23:49,20000
50 Kilometres Race Walk,3:32:33,3:59:15,50000
Decathlon,9126,8358,0
4x100 Metres Relay,36.84,40.82,400
4x200 Metres Relay,1:18.63,1:27.46,800
4x200 Metres Relay Short Track,1:22.11,1:32.41,800
4x400 Metres Relay,2:54.29,3:15.17,1600
4x400 Metres Relay Short Track,3:01.51,3:23.37,1600
4x800 Metres Relay,7:02.43,7:50.17,3200
4x800 Metres Relay Short Track,7:11.30,8:05.89,3200
Distance Medley,9:15.50,10:36.50,4000
4x1500 Metres Relay,14:22.22,16:27.02,6000
Road Relay,1:57:06,2:11:41,0
